"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_183_012,Schnabelgasse 9,"1706-05",Ausgänge von No 15 u. 17 am Spalenberg.,false,,POINT (2611163.275207145 1267368.0116235237),genau gesetzt,
HGB_1_194_064,Spalenberg 2,"597 / 534",Einschliesslich Imbergässlein 14.,false,,POINT (2611137.1237903484 1267434.135293966),genau gesetzt,
HGB_1_106_025,Kronengasse 10e,,Siehe Plan No. 4. Bis [...]. Nachher Almend.,false,,POINT (2611218.854861703 1267663.072910702),ungefähr gesetzt,
HGB_1_106_023,Kronengasse 10c,,Siehe Plan No. 4. Bis 1478. Nachher Almend.,false,,POINT (2611218.854861703 1267663.072910702),ungefähr gesetzt,
HGB_1_106_024,Kronengasse 10d,,Siehe Plan No. 4. Bis [...]. Nachher Almend.,false,,POINT (2611218.854861703 1267663.072910702),ungefähr gesetzt,
HGB_1_150_035,Petersplatz 18,"253 + A",,false,,POINT (2610958.90252324 1267655.589943535),genau gesetzt,
HGB_1_204_048,"Stadthausgasse 6b (Laden im Hof von 4, 6, 8)",,Errichtet 1699. Abgebrochen 1787.,false,,POINT (2611170.3186591286 1267561.8829508163),ungefähr gesetzt,
HGB_1_051_064,Elisabethenstrasse 59,"900 A",,false,,POINT (2611404.056168745 1266589.7323094606),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_051_099,Elisabethenstrasse 64,,Gipshäuslein an der Stadtmauer.,false,,POINT (2611377.9539439864 1266594.4547990933),ungefähr gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_216_017,"Sternengasse 23, 27","972 + A",Mit Einschluss von Aeschengraben 20/24 seit 1653.,false,,POINT (2611575.9493599217 1266748.2821263724),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_154_009,Rebgasse: Strassenkörper,"","",true,ungefähre Ortsangabe,POINT (2611678.720801764 1267833.2993274035),ungefähre Ortsangabe,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_151_006,Pfluggässlein: Dohlen,"","",true,ungefähre Ortsangabe,POINT (2611356.1272668187 1267268.9468961759),ungefähre Ortsangabe,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_204_049,"Stadthausgasse 6c (Laden im Hof von 4, 6, 8)",,Errichtet 1699. Abgebrochen 1787.,false,,POINT (2611170.134856761 1267561.6991484489),ungefähr gesetzt,
HGB_1_184_060,Schneidergasse 30,"594 / 536",Einschliesslich Imbergässlein 11.,false,,POINT (2611143.9928496047 1267458.66705554),genau gesetzt,
HGB_1_225_058,"Utengasse 40 (im Löffelschen Plan No. 38, J. h. No. zwischen 36 u. 40)",,"Seit 1679. Vorher siehe Rheingasse 39, 43.",false,,POINT (2611672.659271934 1267669.3540436057),ungefähr gesetzt,
HGB_1_184_052,"Schneidergasse, abgebrochen laut Adressbuch v. 1834","583",Zwischen No. 18 und dem Gässlein zum S. Andreasplatz siehe den Plan S. Andreasplatz No. 3.,false,,POINT (2611148.9975845185 1267508.396461923),ungefähre Ortsangabe,
HGB_1_137_076,Nadelberg 26,"510 (Th. v. 507 lt. Adressbuch v. 1862)",,false,,POINT (2611052.935667545 1267397.8806365402),genau gesetzt,
HGB_1_197_051,Spalenvorstadt 33,"318 A (+B)",Siehe auch Schützengraben 34.,false,,POINT (2610791.7730313553 1267440.8140606692),genau gesetzt,
HGB_1_154_056,Rebgasse 49 (existiert nicht mehr),,Bis 1781. Nachher Allmend. Siehe Plan No. 5 u. 6.,false,,POINT (2611839.2542761792 1267665.8536785902),grob geschätzt,
HGB_1_168_077,Riehentorstrasse 32,"139 + 139 B",,false,,POINT (2611892.472702862 1267689.7432967739),genau gesetzt,
HGB_1_184_050,"Schneidergasse Theil von 18, neben alt 583","Theil von 582, neben alt 583",Seit 1348. Vorher siehe 18/582 u. alt 583 vereinigt. Bis 1487. Nachher siehe 18/582.,false,,POINT (2611142.1968969274 1267506.9260429845),,
HGB_1_221_014,Theodorskirchplatz Th. v. 6 am Kirchhof,ohne No.,,false,,POINT (2611950.8693013964 1267548.5907361289),genau gesetzt,
HGB_1_150_006,"Petersplatz: Neuevorstadt, Petersgraben u. Spalenvorstadt möglich",,,false,,POINT (2610895.8229637966 1267600.602617493),ungefähre Ortsangabe,
HGB_1_106_021,Kronengasse 10a,,Siehe Plan No. 4. Bis [...]. Nachher Almend.,false,,POINT (2611218.854861703 1267663.072910702),ungefähr gesetzt,
HGB_1_150_008,Petersplatz: Schutzrein,,,false,,POINT (2610902.658984193 1267600.9027632317),ungefähre Ortsangabe,
HGB_1_116_015,Leonhardsstrasse Theil von 17 am Steinengraben (Begrenzung nicht sicher),Theil von 750,Siehe Plan No. 3. Bis 1500. Nachher siehe 13 und Th. v. 17 am Steinengraben vereinigt.,false,,POINT (2611081.2913350184 1267046.8997251396),genau gesetzt,
HGB_1_116_029,Leonhardsstrasse 10,"386","Getrennt seit 1827. Vorher vereinigt 6, 8, 10, 12 seit 1712. 1841/1842.",false,,POINT (2611125.5589430504 1267119.948997664),genau gesetzt,
HGB_1_116_030,"Leonhardsstrasse 10, 12","386 +A",Bis 1712. Nachher siehe 6/8/10/12 vereinigt. [...]-1842 wieder vereinigt. Ab 1841 od. 1842 getrennt.,false,,POINT (2611125.5589430504 1267119.2017500908),genau gesetzt,
HGB_1_116_026,"Leonhardsstrasse 6, 8","385",Bis 1712. Nachher siehe 6/8/10/12 vereinigt.,false,,POINT (2611144.613756166 1267143.1136724318),genau gesetzt,
HGB_1_116_027,"Leonhardsstrasse 6, 8, 10, 12","385, 386",Seit 1712. Vorher siehe 6/8/385 und 10/12/386 getrennt.,false,,POINT (2611144.613756166 1267143.4872962185),genau gesetzt,
HGB_1_116_041,Leonhardsstrasse Th. v. 22 Ecke,Th. v. 389 Ecke,"Bis 1412. Nachher siehe 20, 22 vereinigt.",false,,POINT (2611077.7350983685 1267061.2900631712),genau gesetzt,
HGB_1_116_035,Leonhardsstrasse 16,"387",,false,,POINT (2611106.8777537216 1267095.6634515363),genau gesetzt,
HGB_1_116_036,Leonhardsstrasse 18 (Begrenzung nicht sicher),Theil von 387 +387A,"Bis 1610. Nachher siehe 18-22, vereinigt. Ab 1830 separat.",false,,POINT (2611099.7789017768 1267087.070104445),genau gesetzt,
HGB_1_116_033,"Leonhardsstrasse 14, 16 (Begrenzung gegen 18 nicht sicher)",Theil von 387,Bis 1717. Nachher siehe 14-22 vereinigt. [...]-1863 wieder zusammen. Ab 1863 Nr. 14 u. 16 getrennt.,false,,POINT (2611111.3612391604 1267101.6414321216),genau gesetzt,
HGB_1_116_012,Leonhardsstrasse 13 und Theil von 17 am Steinengraben (Begrenzung nicht sicher),Theil von 750,"Siehe Plan No. 3. Seit 1500. Vorher siehe 13 und Th. v. 17 am Steinengraben, getrennt. Bis 1507. Nachher siehe 1/750.",false,,POINT (2611106.8404861796 1267079.2846491279),genau gesetzt,
HGB_1_116_034,"Leonhardsstrasse 14, 16, 18, 20, 22","387, 388, 389",Seit 1717. Vorher siehe 14/16 und 18-22 getrennt.,false,,POINT (2611111.734862947 1267101.6414321216),genau gesetzt,
HGB_1_116_014,"Leonhardsstrasse Theil von 17, Ecke (Begrenzung nicht sicher)",Theil von 750,Siehe Plan No. 3. Bis 1526. Nachher siehe 1/750.,false,,POINT (2611084.394402814 1267051.131181224),genau gesetzt,
HGB_1_116_039,"Leonhardsstrasse 20, 22 (Begrenzung nicht sicher)","388, 389","Seit 1412. Vorher siehe 20, Th. v. 22 Ecke, Th. v. 22 neben 20 getrennt. Bis 1610. Nachher siehe 18-22 vereinigt. [...]-1880 wieder nur 388, 389 = 20/22 vereinigt.",false,,POINT (2611091.559178472 1267077.355885994),genau gesetzt,
HGB_1_116_007,"Leonhardsstrasse 1, mit Einschluss von 5-17, Kohlenberg 17-29, Steinenberg 19. Ganzer Block zwischen Leonhardstrasse, Kohlenberg, Kanonengasse und Steinengraben.","750","Siehe Plan No. 3. 
Mit Einschluss von 13 und Th. v. 17 am Steinengraben seit 1507.
Mit Einschluss von Th. v. 17 Ecke seit 1526.
Mit Einschluss von Kanonengasse 6 seit 1508.
Mit Einschluss von Kanonengasse 8 seit 1526.",false,,POINT (2611170.4054482887 1267161.4864587665),genau gesetzt,
HGB_1_116_040,Leonhardsstrasse Th. v. 22 neben 20,Th. v. 389 neben 388,"Bis 1412. Nachher siehe 20, 22 vereinigt. Ab 1860 wieder alleine.",false,,POINT (2611083.713078954 1267067.641667543),genau gesetzt,
HGB_1_116_011,Leonhardsstrasse 13 (Begrenzung nicht sicher),Theil von 750,"Siehe Plan No. 3. Bis 1500. Nachher siehe 13 und Th. v. 17 am Steinengraben, vereinigt.",false,,POINT (2611106.962168598 1267079.0587913822),genau gesetzt,
HGB_1_116_037,"Leonhardsstrasse 18, 20, 22 (Begrenzung gegen 16 nicht sicher)","Theil von 387, 388, 389","Seit 1610. Vorher siehe 18 und 20, 22 getrennt. Bis 1717. Nachher siehe 14-22 vereinigt.",false,,POINT (2611099.40527799 1267087.070104445),genau gesetzt,
HGB_1_116_038,Leonhardsstrasse 20,"388","Bis 1412. Nachher siehe 20, 22 vereinigt. Ab 1860 wieder alleine.",false,,POINT (2611091.9328022585 1267077.7295097806),genau gesetzt,
HGB_1_116_022,Leonhardsstrasse 4,"384",,false,,POINT (2611156.19609355 1267159.5531190413),genau gesetzt,
HGB_1_095_008,"Kellergässlein Theil von 7, Wohnhaus","Theil von 245, Wohnhaus","Siehe Plan No. 4, 5, 6. Zeitweilig mit Einschluss von Boden 3 und 4 in 7/245, mit Einschluss von Keller m in 7/245 seit 1573.",false,,POINT (2611090.812584295 1267635.8305774215),genau gesetzt,
HGB_1_095_019,"Kellergässlein Theil von 7, Dritter Boden","Theil von 245, Dritter Boden","Siehe Plan 5, 6. Vor 1676 zeitweilig mit Th. v. 7/245, Wohnhaus vereinigt. Bis 1680. Nachher siehe Theile des dritten Bodens und Peterskirchplatz 1.",false,,POINT (2611090.6188493213 1267636.0243123951),genau gesetzt,
HGB_1_095_011,"Kellergässlein Theil von 7, Keller e, k, l","Theil von 245, Keller e, k, l","Siehe Plan No. 4, 5, 6. Bis 1492. Nachher siehe Keller e, k und Keller l.",false,,POINT (2611090.6188493213 1267636.0243123951),genau gesetzt,
HGB_1_095_018,"Kellergässlein Theil von 7, Keller c, h","Theil von 245, Keller c, h","Siehe Plan No. 4, 5, 6. Seit 1655. Vorher siehe Keller b, c, g, h.",false,,POINT (2611091.0063192686 1267636.218047369),genau gesetzt,
HGB_1_095_010,"Kellergässlein Theil von 7, Keller m","Theil von 245, Keller m","Siehe Plan No. 4, 5, 6. Bis 1573. Nachher siehe Th. v. 7/245, Wohnhaus.",false,,POINT (2611091.0063192686 1267635.8305774215),genau gesetzt,
HGB_1_095_013,"Kellergässlein Theil von 7, Keller l","Theil von 245, Keller l","Siehe Plan No. 4, 5, 6. Seit 1492. Vorher siehe Keller e, k, l.",false,,POINT (2611090.6188493213 1267636.0243123951),genau gesetzt,
HGB_1_221_010,Theodorskirchplatz 5,ohne No.,Siehe Plan Kirchgasse No. 3.,false,,POINT (2611947.3900920344 1267569.465992299),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_006_004,St. Alban-Kirchrain: Strassenkörper,"","",true,ungefähre Ortsangabe,POINT (2612246.791089803 1267059.1630633445),ungefähre Ortsangabe,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_095_012,"Kellergässlein Theil von 7, Keller e, k","Theil von 245, Keller e, k","Siehe Plan No. 4, 5, 6. Seit 1492. Vorher siehe Keller e, k, l.",false,,POINT (2611090.6188493213 1267636.0243123951),genau gesetzt,
HGB_1_220_007,Theaterstrasse 5,"828 A",,false,,POINT (2611426.256271041 1267012.5989413932),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_095_014,"Kellergässlein Theil von 7, Keller a, f","Theil von 245, Keller a, f","Siehe Plan No. 4, 5, 6.",false,,POINT (2611090.812584295 1267636.0243123951),genau gesetzt,
HGB_1_095_021,"Kellergässlein Theil von 7, Dritter Boden, Raum 3","Theil von 245, Dritter Boden, Raum 3","Siehe Plan No. 5, 6. Seit 1744. Vorher siehe Dritter Boden, ganz. Bis [...]. Nachher siehe Peterskirchplatz.",false,,POINT (2611090.812584295 1267635.8305774215),genau gesetzt,
HGB_1_095_020,"Kellergässlein Theil von 7, Dritter Boden, Raum 2","Theil von 245, Dritter Boden, Raum 2","Siehe Plan No. 5, 6. Seit [...]. Vorher siehe Dritter Bodem, ganz.",false,,POINT (2611090.812584295 1267636.218047369),genau gesetzt,
HGB_1_095_023,"Kellergässlein Theil von 7, Vierter Boden, Raum 2","Theil von 245, Vierter Boden, Raum 2",Siehe Plan No. 5. Seit 1752. Vorher siehe Vierter Boden ganz. Bis 1778. Nachher siehe Peterskirchplatz 1.,false,,POINT (2611090.812584295 1267635.8305774215),genau gesetzt,
HGB_1_095_022,"Kellergässlein Theil von 7, Vierter Boden","Theil von 245, Vierter Boden","Siehe Plan No. 5. Vor 1679 zweitweilig mit Th. v. 7/245, Wohnhaus vereinigt. Bis 1753. Nachher siehe Theile des vierten Bodens und Peterskirchplatz 1.",false,,POINT (2611090.6188493213 1267635.8305774215),genau gesetzt,
HGB_1_095_017,"Kellergässlein Theil von 7, Keller b, g","Theil von 245, Keller b, g","Siehe Plan No. 4, 5, 6. Seit 1655. Vorher siehe Keller b, c, g, h.",false,,POINT (2611090.6188493213 1267635.8305774215),genau gesetzt,
HGB_1_095_009,"Kellergässlein Theil von 7, Keller n","Theil von 245, Keller n","Siehe Plan No. 4, 5, 6.",false,,POINT (2611090.6188493213 1267636.0243123951),genau gesetzt,
HGB_1_095_016,"Kellergässlein Theil von 7, Keller b, c, g, h","Theil von 245, Keller b, c, g, h","Siehe Plan No. 4, 5, 6. Bis 1655. Nachher siehe Keller b, g und Keller c, h.",false,,POINT (2611090.812584295 1267635.8305774215),genau gesetzt,
HGB_1_189_057,Schützenmattstrasse 10 u. Th. v. 12 neben 10,"329 A u. 329",Seit 1755. Vorher siehe 10 u. Th. v. 12 neben 10 getrennt. Bis 1807. Nachher siehe 10 u. 12 vereinigt.,false,,POINT (2610817.960262163 1267389.2729624799),genau gesetzt,
HGB_1_189_010,"Schützenmattstrasse Th. v. 3, hinterer Theil",,Seit 1403. Vorher siehe Spalenvorstadt Th. v. 11 neben 13. Bis 1448. Nachher siehe Spalenvorstadt Th. v. 11 neben 13.,false,,POINT (2610843.27496725 1267387.220418824),genau gesetzt,
HGB_1_189_011,"Schützenmattstrasse 3, 5","346, 345",Seit 1502. Vorher siehe Spalenvorstadt Th. v. 11 neben 13 u. Schützenmattstrasse 5. Bis 1533. Nachher siehe Spalenvorstadt Th. v. 11 neben 13 u. Schützenmattstrasse 5 getrennt.,false,,POINT (2610842.8188464376 1267386.992358418),genau gesetzt,
HGB_1_189_014,Schützenmattstrasse Th. v. 5 neben 7,Th. v. 345 neben 344,Bis 1409. Nachher siehe 5 ganz.,false,,POINT (2610834.6086718147 1267380.8347274507),genau gesetzt,
HGB_1_189_016,"Schützenmattstrasse 7, 9","344, 343",Seit 1764. Vorher siehe 7 u. 9 getrennt. Bis 1787. Nachher siehe 7 u. 9 getrennt.,false,,POINT (2610826.1704367856 1267374.6770964838),genau gesetzt,
HGB_1_189_021,Schützenmattstrasse Th. v. 13 neben 11,"341",Seit 1449. Vorher siehe 13 ganz.,false,,POINT (2610804.504698198 1267354.379720333),genau gesetzt,
HGB_1_189_027,Schützenmattstrasse Th. v. 17 neben 15,Th. v. 338 neben 339,Bis 1361. Nachher siehe 17 ganz.,false,,POINT (2610791.7333154515 1267340.9241563678),genau gesetzt,
HGB_1_189_028,Schützenmattstrasse Th. v. 17 neben 19,Th. v. 338 neben 337,Bis 1361. Nachher siehe 17 ganz.,false,,POINT (2610791.049134233 1267340.9241563678),genau gesetzt,
HGB_1_189_030,Schützenmattstrasse 19,"337a",Bis 1508. Nachher siehe 19/ 21/ 23 vereinigt. Seit 1836 wieder getrennt. Ab 1836 wieder separat hier.,false,,POINT (2610787.400167734 1267335.4507066193),genau gesetzt,
HGB_1_189_033,Schützenmattstrasse 21,"337",Bis 1508. Nachher siehe 19/ 21/ 23 vereinigt. Seit 1836 getrennt. Ab 1836. wieder separat.,false,,POINT (2610783.0670200163 1267329.5211360585),genau gesetzt,
HGB_1_189_019,Schützenmattstrasse 13,"340-341",Bis 1658. Nachher siehe Th. v. 13 neben 11 u. Th. v. 13 neben 15 getrennt.,false,,POINT (2610804.3511400768 1267354.5719013729),genau gesetzt,
HGB_1_189_075,"Schützenmattstrasse bei 24, 28, 30","335 A",,false,,POINT (2610772.849996284 1267343.8615124833),genau gesetzt,
HGB_1_189_023,Schützenmattstrasse Th. v. 15 Mitte,Th. v. 339 Mitte,Bis 1549. Nachher siehe Th. v. 15 neben 13.,false,,POINT (2610797.210880817 1267346.8016192373),genau gesetzt,
HGB_1_189_064,Schützenmattstrasse 14 u. Th. v. 12 neben 14,"331 u. Th. v. 330",Seit 1421. Vorher siehe Th. v. 14 neb. 12 Th. v. 14 neb. 16 u. Th. v. 12 neb. 14 getrennt. Bis 1424. Nachher siehe 14 u. Th. v. 12 neben 14 getrennt.,false,,POINT (2610805.0630914955 1267377.385768039),genau gesetzt,
HGB_1_092_018,Kanonengasse Th. v. 19 neben 17,Th. v. 754,Bis 1439. Nachher siehe 19.,false,,POINT (2611128.2933383263 1266981.475119633),genau gesetzt,
HGB_1_082_006,Hirschgasse 5,Theil von 985,Bis [...]. Nachher siehe 5/9/13/15. Nachher wieder getrennt.,false,,POINT (2611658.448705516 1266766.6036396138),genau gesetzt,
HGB_1_157_010,Rhein und Rheinbrücke: Brücke (Rheinthor und Krambuden siehe Privatparcellen),,,false,,POINT (2611304.0192142827 1267669.4359981804),ungefähre Ortsangabe,
HGB_1_093_007,Karthausgasse 1,"127","Seit 1706. Vorher siehe 1, 3 vereinigt. Bis 1767. Nachher siehe 1, 3 vereinigt. Siehe Plan No. 3. Ab 1858 wieder getrennt.",false,,POINT (2611831.713098352 1267610.219996786),genau gesetzt,
HGB_1_017_010,Badergässlein Th. v. 5 neben 3,"328","Bis 1813, nachher siehe 5.",false,,POINT (2611487.688652447 1267908.0707777583),genau gesetzt,
HGB_1_092_014,Kanonengasse 17,"754 N","Bis 1450. Nachher siehe 17, 19 u. Steinengraben 21, 23 vereinigt. Ab 1846 wieder hier.",false,,POINT (2611136.8011845807 1266985.7721510676),genau gesetzt,
HGB_1_092_013,"Kanonengasse 13, 15","754 P, Q","Bis 1477. Nachher siehe 11, 13, 15 vereinigt.",false,,POINT (2611151.851251093 1266995.4919856903),genau gesetzt,
HGB_1_058_111,Freie Strasse,Theil von 1641 neben 1640,Siehe Plan No. 3. Seit 1482. Vorher siehe Th. v. 1641 neben 1640 und 1640. Bis 1665. Nachher siehe 1641.,false,,POINT (2611282.8036878635 1267434.3400396148),ungefähre Ortsangabe,
HGB_1_172_023,"Rosshofgasse Theil von 14, mittl. u. hint. Theil = Petersgraben 57 laut Adressbuch, 55 laut Löffelschem Plan",,Seit 1759. Vorher siehe mittl. u. hint. Th. getrennt. Bis 1803. Nachher siehe 14 ganz. Siehe Plan No. 3.,false,,POINT (2610979.1242466583 1267387.863527974),ungefähr gesetzt,
HGB_1_058_110,Freie Strasse,"1641",Siehe Plan No. 3. Seit 1666. Vorher siehe Th. v. 1641 neben 1642 und Th. v. 1641 neben 1640.,false,,POINT (2611282.969648595 1267434.3400396148),ungefähre Ortsangabe,
HGB_1_056_037,"Fischmarkt Theil von 8, neben Stadthausgasse","Theil von 159, neben Stadthausgasse",Bis 1695. Nachher siehe 8/159.,false,,POINT (2611159.792132805 1267597.945924685),,
HGB_1_082_008,"Hirschgasse 13, 15",Theil von 985,Seit 1394. Vorher siehe 13/15/17. Bis [...]. Nachher siehe 5/9/13/15. Bis ca. 1840. Nachher wieder getrennt.,false,,POINT (2611627.7518367963 1266723.324265307),genau gesetzt,
HGB_1_001_040,Aeschengraben 48,Theil von 900,Bis 1455. Nachher siehe Elisabethenstrasse 59.,false,,POINT (2611474.9653373403 1266539.2230735405),grob geschätzt,Kein Dossier aus selber Strasse.
HGB_1_002_069,"Aeschenvorstadt 63, 65, 67","110, 109, 108","1452-1606",false,,POINT (2611695.0337002594 1266833.345724858),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_013_008,"Andreasplatz 7, 8, 10, 11, 12, 13","547",,false,,POINT (2611092.651696228 1267498.3488750195),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_028_048,Blumenrain 2,"123","Seit 1402. Vorher siehe Schifflände Th. v. 8 neben 6 und Blumenrain 2, vereinigt.",false,,POINT (2611223.0500243213 1267723.9044605747),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_058_072,Freie Strasse 83,"1492",,false,,POINT (2611480.3316316046 1267167.7837042715),genau gesetzt,Kein Dossier aus selber Strasse. Falsch gesetztes Dossier: liegt jetzt an der Martinsgasse
HGB_1_024_027,Barfüsserplatz 7,"1096",Mit Einschluss von No. 8 und 10.,false,,POINT (2611402.7477023886 1267120.139277039),,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_023_006,"Barfüssergasse, Kaufhausgasse: Alter Spital",,,false,,POINT (2611433.5732335853 1267120.087646367),ungefähre Ortsangabe,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_220_008,Theaterstrasse 7,"829",,false,,POINT (2611404.968899214 1267005.6347963165),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_064_013,Gerbergässlein 17,"662",Seit [...]. Vorher siehe Gerbergasse 46/48. Bis [...]. Nachher siehe Gerbergasse 48.,false,,POINT (2611271.2387109157 1267250.3336733894),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_063_100,Gerbergasse 36,"643",,false,,POINT (2611264.6949710525 1267233.974323732),ungefähr gesetzt,Kein Dossier aus selber Strasse.
HGB_1_035_007,Brunngässlein 11a,Theil von 1051,Bis 1559. Nachher siehe S. Albangraben 14/1057.,false,,POINT (2611751.0013829805 1266933.2153632394),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_063_054,Gerbergasse 57,"1101",Seit [...]. Vorher siehe Th. v. 57 neben 55 und Th. v. 57 neben 59.,false,,POINT (2611303.506283865 1267225.2277608195),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_006_006,St. Alban-Kirchrain 4,"1282",,false,,POINT (2612328.19755154 1267011.1155628932),ungefähr gesetzt,Kein Dossier aus selber Strasse.
HGB_1_010_170,St. Alban-Vorstadt 112,"1275 b",,false,,POINT (2612359.9340406116 1266965.1394701146),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_051_070,Elisabethenstrasse 10,"926",,false,,POINT (2611519.878344275 1266965.5906473622),ungefähr gesetzt,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_035_006,"Brunngässlein 11, 7","1022, 1023",Seit 14[...]. Vorher siehe Aeschenvorstadt 45/1024.,false,,POINT (2611751.177158553 1266933.0013573843),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_035_009,Brunngässlein 4,"1019",Bis 1764. Nachher siehe Aeschenvorstadt 49/1017.,false,,POINT (2611690.3203873304 1266892.9897918145),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_035_012,Brunngässlein 24 / 26,"1006",,false,,POINT (2611816.481992578 1266865.3870726912),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_005_011,St. Alban-Graben 5,"1203 A",Seit ca. 1830. Vorher siehe Rittergasse 18.,false,,POINT (2611633.53278703 1267078.1197967257),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_005_012,St. Alban-Graben 7,"1209",Seit ca. 1830; vorher s. Rittergasse 18.,false,,POINT (2611654.1993816015 1267086.8826569982),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_005_015,St. Alban-Graben 4,"1046",,false,,POINT (2611609.359620615 1267040.3997676533),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_005_027,St. Alban-Graben 18,"1053",Seit 1744. Vorher siehe 16/ 18.,false,,POINT (2611718.8310399503 1267092.28938751),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_005_014,St. Alban-Graben 2,Theil von 1045 A und B,"Bis 1489. Nachher siehe Aeschenvorstadt und St. Albangraben 2/1045 vereinigt. Bis 1818, dann wieder abgebrannt.",false,,POINT (2611577.830540629 1267024.2523258068),,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_056_035,Fischmarkt 6,Theil von 1553,Bis [...]. Nachher siehe Stadthausgasse 2/1553.,false,,POINT (2611178.8608779814 1267598.259030019),ungefähr gesetzt,Kein Dossier aus selber Strasse.
HGB_1_058_043,Freie Strasse 37,"1443",Seit 1461 mit Einschluss von Schlüsselberg 12.,false,,POINT (2611380.183608037 1267327.9409903348),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_063_088,Gerbergasse 22a und Rümelinsplatz 6,"1687",,false,,POINT (2611211.033025975 1267353.2946694384),,Kein Dossier aus selber Strasse.
HGB_1_050_011,Eisengasse 3,"1518",,false,,POINT (2611300.705858694 1267648.2489714078),,Kein Dossier aus selber Strasse.
HGB_1_074_013,Hebelstrasse Th. v. 3 neben 7,Th. v. 250 b u. c neben 249 A,Bis 1565. Nachher siehe Petersplatz 14 ganz.,false,,POINT (2610937.123297444 1267726.0281744),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_012,Hebelstrasse Th. v. 3 neben 1 u. Th. v. 3 Mitte,Theil von 250,Seit 1530. Vorher siehe Th. v. 3 neben 1 u. Th. v. 3 Mitte getrennt. Bis 1583. Nachher siehe Petersplatz 14 ganz.,false,,POINT (2610937.123297444 1267726.8871705963),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_011,Hebelstrasse Th. v. 3 neben 1,Theil von 250,"Seit 1444. Vorher siehe Petersplatz Th. . 14 neben 15. Bis 1530. Nachher siehe Th. v. 3 neben 1 u. Th. v. 3, Mitte vereinigt.",false,,POINT (2610937.123297444 1267726.0281744),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_160_006,Untere Rheingasse: Strassenkörper,"","",true,ungefähre Ortsangabe,POINT (2611450.8693740275 1267852.8323938053),ungefähre Ortsangabe,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_074_015,Hebelstrasse 7,"249 A",Seit 1490. Vorher siehe Th. v. 7 neben 3 u. Th. v. 7 neben 9 getrennt. Bis 1573. Nachher siehe Petersplatz 13.,false,,POINT (2610891.8952655396 1267746.1211143294),,Dossier ist Teil von Hebelstrasse.
HGB_1_074_019,Hebelstrasse Th. v. 7 neben 9,Th. v. 249 A neben 249 d,Bis 1490. Nachher siehe 7 ganz.,false,,POINT (2610898.0389705235 1267743.2080983212),genau gesetzt,Dossier ist Teil von Hebelstrasse.
