"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_085_036,"Hutgasse Theil von 2, Mitte am Marktplatz und neben Marktplatz 9","Theil von 1728, Mitte am Marktplatz und neben Martktplatz 9",Seit 1490. Vorher siehe Th. v. 2 Mitte am Marktplatz und Th. v. 2 neben Marktplatz 9 bis 1549. Nachher siehe 2/1728.,false,,POINT (2611220.986578286 1267451.6655618332),,
HGB_1_204_022,"Stadthausgasse Theil von 13, Ecke","Theil von 173, Ecke",Seit 1354. Vorher siehe Th. v. 13 neben 15 u. 15 vereinigt. Bis 1770. Nachher siehe 13/173.,false,,POINT (2611146.1783363684 1267562.8790877268),,
HGB_1_204_023,"Stadthausgasse Theil von 13, neben 15","Theil von 173, neben 15",Seit 1354. Vorher siehe Th. v. 13 neben 15 u. 15 vereinigt. Bis 1770. Nachher siehe 13/173.,false,,POINT (2611146.1783363684 1267562.8790877268),,
HGB_1_154_028,"Rebgasse Th. v. 21, 2. Th. v. 19","Th. v. 173, 2. Th. v. 174",Bis 1520. Nachher siehe Th. v. 21 neben 19.,false,,POINT (2611769.6888807337 1267741.5186519607),,
HGB_1_154_029,"Rebgasse Th. v. 21, 3. Th. v. 19","Th. v. 173, 3. Th. v. 174",Bis 1520. Nachher siehe Th. v. 21 neben 19.,false,,POINT (2611769.6888807337 1267741.5186519607),,
HGB_1_154_027,"Rebgasse Th. v. 21, 1. Th. v. 19","Th. v. 173, 1. Th. v. 174",Bis 1520. Nachher siehe Th. v. 21 neben 19.,false,,POINT (2611769.6888807337 1267741.5186519607),,
HGB_1_177_013,"Sattelgasse Theil von 7, Mitte","Theil von 1739, Mitte",Bis 1432. Nachher siehe Th. v. 7 neben 5 u. Th. v. 7 neben 9.,false,,POINT (2611180.6139903087 1267497.824072882),,
HGB_1_177_035,Sattelgasse 18 / 19,"1747 / 1748",Ab 1865. Vorher siehe jede No. einzeln.,false,,POINT (2611168.4632808156 1267483.6414939843),,
HGB_1_184_026,Schneidergasse 23,"1752-1753",,false,,POINT (2611151.4903752897 1267471.0753771586),,
HGB_1_146_021,"Petersberg Theil von 7, Ecke","Theil von 177, Ecke",Bis 1760. Nachher siehe 7/177.,false,,POINT (2611150.595465682 1267645.885389082),,
HGB_1_146_029,Petersberg,Salzkasten bei 181,,false,,POINT (2611145.983625187 1267669.7588754236),,
HGB_1_146_057,"Petersberg Th. v. 32, Ecke","Th. v. 188, Ecke",Bis 1412. Nachher siehe 32 ganz.,false,,POINT (2611134.073170394 1267687.8897753677),,
HGB_1_146_036,"Petersberg Theil von 25, Hinterhaus","Theil von 191, Hinterhaus",Seit 1415. Vorher siehe 25/191. Bis [...]. Nachher siehe 25/191.,false,,POINT (2611118.7080455925 1267691.0472567868),,
HGB_1_146_035,"Petersberg Theil von 25, Vorderhaus","Theil von 191, Vorderhaus",Seit 1415. Vorher siehe 25/191. Bis [...]. Nachher siehe 25/191.,false,,POINT (2611118.7080455925 1267691.0472567868),,
HGB_1_146_043,"Petersberg Stall unter 33, 35","Stall unter 197, 198",Bis 1455. Nachher siehe Spiegelgasse 14/202.,false,,POINT (2611149.0911224466 1267720.8395883876),,
HGB_1_199_021,Spiegelgasse 8 u. Th. v. 10 neben 8,"2069 u. Th. v. 205 neben 206",Seit 1422. Vorher siehe 8 u. Th. v. 10 neben 8 getrennt. Bis 1440. Nachher siehe 8 u. Th. v. 10 neben 8 getrennt.,false,,POINT (2611162.849688583 1267743.2298950134),,
HGB_1_155_013,"Untere Rebgasse 5, 7","210, 211","Bis 1412. Nachher siehe 5, 7 getrennt. Siehe Plan No. 3.",false,,POINT (2611618.982304389 1267902.3755703333),,
HGB_1_147_036,"Petersgasse Theil von 10, Ecke","Theil von 213, Ecke","Seit 1422. Vorher siehe 10/213, ganz. Bis 1439. Nachher siehe 10/213, ganz.",false,,POINT (2611123.568925381 1267810.4173381412),,
HGB_1_154_058,Rebgasse 2 / Greifengasse 40,"215 / Greifengasse 216","Von 1562. Vorher siehe Rebgasse 2 u. Greifengasse 38, 40. Bis 1677. Nachher siehe Rebgasse 2 u. Greifengasse 40.",false,,POINT (2611643.316538037 1267867.2476439122),,
HGB_1_147_019,Petersgasse Theil von 15 neben 13,"Theil von 227, Mitte","Bis 1760. Nachher siehe 13/15, vereinigt.",false,,POINT (2611121.702685241 1267753.3942569115),,
HGB_1_091_068,"St. Johanns-Vorstadt 41, 43","Th. v. 23, 22","Seit 1526. Vorher siehe 41 u. 43 getrennt. Bis 1732. Nachher siehe 41 u. 43 getrennt. Mit Einschluss von 39 hint. Theil. Mit Ausschluss v. 41, 43 hint. Th. v. 1577-1603.",false,,POINT (2610916.061641954 1268194.9098415175),,
HGB_1_147_060,"Petersgasse Theil von 42, 44, Hinterhaus","Theil von 231, 233, Hinterhaus","Seit 1736. Vorher siehe 40, 42, 44.",false,,POINT (2611095.443868784 1267692.1274582408),,
HGB_1_147_063,"Petersgasse Theil von 44, Hinterhaus am Stadtgraben","Theil von 233, Hinterhaus am Stadtgraben","Seit 1394. Vorher siehe 44. Bis 1460. Nachher siehe 40, 42, 44.",false,,POINT (2611080.754010542 1267676.799484733),,
HGB_1_147_064,"Petersgasse Theil von 44, Zweites Haus vom Stadtgraben","Theil von 233, Zweites Haus vom Stadtgraben","Seit 1394. Vorher siehe 44. Bis 1460. Nachher siehe 40, 42, 44.",false,,POINT (2611080.754010542 1267676.799484733),,
HGB_1_147_065,"Petersgasse Theil von 44, Drittes Haus vom Stadtgraben","Theil von 233, Drittes Haus vom Stadtgraben","Seit 1394. Vorher siehe 44. Bis 1460. Nachher siehe 40, 42, 44.",false,,POINT (2611080.754010542 1267676.799484733),,
HGB_1_147_066,"Petersgasse Theil von 44, Viertes Haus vom Stadtgraben","Theil von 233, Viertes Haus vom Stadtgraben","Seit 1394. Vorher siehe 44. Bis 1466. Nachher siehe 40, 42, 44.",false,,POINT (2611080.754010542 1267676.799484733),,
HGB_1_147_067,"Petersgasse Theil von 44, Vorderhaus","Theil von 233, Vorderhaus","Seit 1736. Vorher siehe 40, 42, 44.",false,,POINT (2611080.754010542 1267676.799484733),,
