nodeID1,nodeID2
HGB_1_225_039,HGB_1_225_040
HGB_1_225_041,HGB_1_225_040
HGB_1_225_046,HGB_1_225_045
HGB_1_225_047,HGB_1_225_045
HGB_1_225_062,HGB_1_225_063
HGB_1_225_062,HGB_1_225_061
HGB_1_223_009,HGB_1_223_008
HGB_1_223_009,HGB_1_223_021
HGB_1_227_015,HGB_1_227_014
HGB_1_227_016,HGB_1_227_014
HGB_1_227_051,HGB_1_227_050
HGB_1_227_052,HGB_1_227_050
HGB_1_227_039,HGB_1_227_040
HGB_1_227_039,HGB_1_227_038
HGB_1_229_032,HGB_1_229_033
HGB_1_229_032,HGB_1_229_031
HGB_1_229_028,HGB_1_229_029
HGB_1_229_028,HGB_1_229_027
HGB_1_001_029,HGB_1_001_028
HGB_1_002_064,HGB_1_002_065
HGB_1_002_065,HGB_1_002_066
HGB_1_002_067,HGB_1_002_066
HGB_1_002_083,HGB_1_002_082
HGB_1_002_083,HGB_1_002_084
HGB_1_005_017,HGB_1_005_019
HGB_1_005_018,HGB_1_005_019
HGB_1_005_019,HGB_1_005_020
HGB_1_005_021,HGB_1_005_022
HGB_1_005_023,HGB_1_005_022
HGB_1_005_025,HGB_1_005_024
HGB_1_005_026,HGB_1_005_027
HGB_1_008_020,HGB_1_008_019
HGB_1_010_048,HGB_1_010_047
HGB_1_010_050,HGB_1_010_047
HGB_1_010_049,HGB_1_010_047
HGB_1_010_085,HGB_1_010_083
HGB_1_010_085,HGB_1_010_084
HGB_1_017_017,HGB_1_017_016
HGB_1_018_010,HGB_1_018_009
HGB_1_018_012,HGB_1_018_009
HGB_1_018_011,HGB_1_018_009
HGB_1_018_038,HGB_1_018_037
HGB_1_024_042,HGB_1_024_041
HGB_1_024_043,HGB_1_024_041
HGB_1_024_051,HGB_1_024_049
HGB_1_028_061,HGB_1_028_059
HGB_1_028_061,HGB_1_028_058
HGB_1_028_061,HGB_1_028_060
HGB_1_056_015,HGB_1_056_014
HGB_1_056_033,HGB_1_056_032
HGB_1_056_034,HGB_1_056_032
HGB_1_058_041,HGB_1_058_040
HGB_1_058_042,HGB_1_058_040
HGB_1_058_084,HGB_1_058_083
HGB_1_058_084,HGB_1_058_085
HGB_1_058_099,HGB_1_058_098
HGB_1_058_100,HGB_1_058_098
HGB_1_058_144,HGB_1_058_143
HGB_1_058_163,HGB_1_058_162
HGB_1_058_164,HGB_1_058_162
HGB_1_058_174,HGB_1_058_173
HGB_1_063_055,HGB_1_063_054
HGB_1_063_094,HGB_1_063_093
HGB_1_063_095,HGB_1_063_093
HGB_1_063_096,HGB_1_063_094
HGB_1_063_096,HGB_1_063_095
HGB_1_063_098,HGB_1_063_097
HGB_1_063_096,HGB_1_063_098
HGB_1_063_108,HGB_1_063_107
HGB_1_063_114,HGB_1_063_115
HGB_1_066_038,HGB_1_066_036
HGB_1_066_038,HGB_1_066_035
HGB_1_066_038,HGB_1_066_037
HGB_1_074_018,HGB_1_074_015
HGB_1_074_079,HGB_1_074_082
HGB_1_074_019,HGB_1_074_015
HGB_1_074_080,HGB_1_074_079
HGB_1_074_081,HGB_1_074_079
HGB_1_074_083,HGB_1_074_082
HGB_1_074_096,HGB_1_074_094
HGB_1_074_097,HGB_1_074_096
HGB_1_074_095,HGB_1_074_099
HGB_1_074_098,HGB_1_074_096
HGB_1_078_046,HGB_1_078_045
HGB_1_078_046,HGB_1_078_047
HGB_1_078_048,HGB_1_078_047
HGB_1_086_030,HGB_1_086_031
HGB_1_091_054,HGB_1_091_052
HGB_1_091_057,HGB_1_091_058
HGB_1_091_059,HGB_1_091_058
HGB_1_091_059,HGB_1_091_060
HGB_1_091_060,HGB_1_091_058
HGB_1_091_061,HGB_1_091_060
HGB_1_091_092,HGB_1_091_093
HGB_1_091_094,HGB_1_091_093
HGB_1_091_095,HGB_1_091_094
HGB_1_091_096,HGB_1_091_094
HGB_1_091_140,HGB_1_091_138
HGB_1_103_037,HGB_1_103_036
HGB_1_103_038,HGB_1_103_036
HGB_1_103_053,HGB_1_103_054
HGB_1_103_055,HGB_1_103_054
HGB_1_103_057,HGB_1_103_058
HGB_1_103_059,HGB_1_103_058
HGB_1_106_008,HGB_1_106_009
HGB_1_117_027,HGB_1_117_028
HGB_1_117_029,HGB_1_117_028
HGB_1_118_010,HGB_1_118_009
HGB_1_118_010,HGB_1_118_011
HGB_1_122_063,HGB_1_122_060
HGB_1_122_062,HGB_1_122_060
HGB_1_133_018,HGB_1_133_019
HGB_1_133_020,HGB_1_133_019
HGB_1_133_036,HGB_1_133_035
HGB_1_133_036,HGB_1_133_037
HGB_1_135_020,HGB_1_135_019
HGB_1_136_022,HGB_1_136_024
HGB_1_136_023,HGB_1_136_025
HGB_1_137_021,HGB_1_137_020
HGB_1_137_022,HGB_1_137_020
HGB_1_137_025,HGB_1_137_024
HGB_1_137_026,HGB_1_137_024
HGB_1_137_030,HGB_1_137_027
HGB_1_137_029,HGB_1_137_027
HGB_1_137_042,HGB_1_137_041
HGB_1_137_044,HGB_1_137_041
HGB_1_137_043,HGB_1_137_041
HGB_1_150_019,HGB_1_150_018
HGB_1_150_020,HGB_1_150_018
HGB_1_151_009,HGB_1_151_008
HGB_1_151_009,HGB_1_229_026
HGB_1_154_019,HGB_1_154_018
HGB_1_154_019,HGB_1_154_020
HGB_1_154_067,HGB_1_154_065
HGB_1_154_078,HGB_1_154_075
HGB_1_154_080,HGB_1_154_081
HGB_1_155_013,HGB_1_155_012
HGB_1_155_013,HGB_1_155_014
HGB_1_155_049,HGB_1_155_045
HGB_1_155_047,HGB_1_155_045
HGB_1_155_048,HGB_1_155_049
HGB_1_155_053,HGB_1_155_048
HGB_1_155_052,HGB_1_155_048
HGB_1_155_051,HGB_1_155_048
HGB_1_155_050,HGB_1_155_048
HGB_1_159_065,HGB_1_159_064
HGB_1_159_065,HGB_1_159_066
HGB_1_159_080,HGB_1_159_081
HGB_1_159_118,HGB_1_159_117
HGB_1_161_045,HGB_1_161_046
HGB_1_168_069,HGB_1_168_068
HGB_1_168_070,HGB_1_168_068
HGB_1_168_073,HGB_1_168_072
HGB_1_168_073,HGB_1_168_074
HGB_1_168_073,HGB_1_168_076
HGB_1_168_073,HGB_1_168_075
HGB_1_170_011,HGB_1_170_046
HGB_1_170_033,HGB_1_170_032
HGB_1_173_017,HGB_1_173_016
HGB_1_173_018,HGB_1_173_016
HGB_1_177_027,HGB_1_177_026
HGB_1_177_029,HGB_1_177_026
HGB_1_181_021,HGB_1_181_019
HGB_1_190_009,HGB_1_190_011
HGB_1_190_010,HGB_1_190_011
HGB_1_194_014,HGB_1_194_013
HGB_1_194_014,HGB_1_194_015
HGB_1_194_019,HGB_1_194_018
HGB_1_194_020,HGB_1_194_018
HGB_1_194_109,HGB_1_194_108
HGB_1_194_109,HGB_1_194_110
HGB_1_197_027,HGB_1_197_026
HGB_1_197_028,HGB_1_197_026
HGB_1_197_033,HGB_1_197_032
HGB_1_199_009,HGB_1_199_010
HGB_1_199_011,HGB_1_199_010
HGB_1_199_012,HGB_1_199_010
HGB_1_201_010,HGB_1_201_009
HGB_1_201_011,HGB_1_201_009
HGB_1_201_013,HGB_1_201_009
HGB_1_203_028,HGB_1_203_027
HGB_1_204_045,HGB_1_204_042
HGB_1_204_045,HGB_1_204_046
HGB_1_204_045,HGB_1_204_050
HGB_1_204_055,HGB_1_204_054
HGB_1_204_055,HGB_1_204_056
HGB_1_204_055,HGB_1_204_057
HGB_1_216_035,HGB_1_216_036
HGB_1_216_039,HGB_1_216_038
HGB_1_216_039,HGB_1_216_040
HGB_1_216_039,HGB_1_216_041
HGB_1_218_029,HGB_1_218_028
HGB_1_218_029,HGB_1_218_030
HGB_1_051_020,HGB_1_051_019
HGB_1_051_020,HGB_1_051_021
HGB_1_079_012,HGB_1_079_011
HGB_1_079_012,HGB_1_224_007
HGB_1_214_013,HGB_1_214_012
HGB_1_159_083,HGB_1_117_010
HGB_1_159_083,HGB_1_159_082
HGB_1_168_022,HGB_1_168_021
HGB_1_194_100,HGB_1_137_085
HGB_1_194_100,HGB_1_194_099
HGB_1_214_047,HGB_1_214_046
HGB_1_215_087,HGB_1_215_086
HGB_1_214_029,HGB_1_214_028
HGB_1_214_030,HGB_1_214_028
HGB_1_201_012,HGB_1_201_011
HGB_1_190_008,HGB_1_190_009
HGB_1_190_008,HGB_1_190_007
HGB_1_182_018,HGB_1_182_015
HGB_1_182_017,HGB_1_182_014
HGB_1_182_014,HGB_1_182_015
HGB_1_182_013,HGB_1_182_014
HGB_1_168_067,HGB_1_168_069
HGB_1_155_046,HGB_1_155_049
HGB_1_136_023,HGB_1_136_022
HGB_1_091_051,HGB_1_091_048
HGB_1_091_049,HGB_1_091_048
HGB_1_005_022,HGB_1_005_024
HGB_1_005_022,HGB_1_005_020
HGB_1_168_074,HGB_1_096_023
HGB_1_096_023,HGB_1_168_076
HGB_1_096_021,HGB_1_168_075
